account,pagerank,in_flow,out_flow,in_circular_ring,connections,flow_ratio,community_id,community_fraud_rate,high_risk_community,betweenness
C1326121635,0.00010238849443168052,1149330.55,0.0,False,7,0.0,99,0.0,False,0.0
C1001228800,1.517256959746606e-05,0.0,196582.4,False,1,196582.4,5020,0.0,False,0.0
C1036977547,5.2550823097843684e-05,853843.5599999999,0.0,False,3,0.0,5020,0.0,False,0.0
C1001304973,1.517256959746606e-05,0.0,168393.3,False,1,168393.3,102,0.0,False,0.0
C1556995360,2.7631987430925268e-05,168393.3,0.0,False,1,0.0,102,0.0,False,0.0
C1001389710,1.517256959746606e-05,0.0,158479.51,False,1,158479.51,105,0.0,False,0.0
C791512944,4.0091405264384476e-05,1811812.82,0.0,False,2,0.0,105,0.0,False,0.0
C1001390107,1.517256959746606e-05,0.0,68504.19,False,1,68504.19,107,0.0,False,0.0
C959887258,4.0091405264384476e-05,291336.95999999996,0.0,False,2,0.0,107,0.0,False,0.0
C1001415350,1.517256959746606e-05,0.0,573978.85,False,1,573978.85,108,0.0,False,0.0
C369995514,4.0091405264384476e-05,804815.47,0.0,False,2,0.0,108,0.0,False,0.0
C1001433436,1.517256959746606e-05,0.0,312651.06,False,1,312651.06,111,0.0,False,0.0
C1426908073,0.00011484791226513974,2080007.5,0.0,False,8,0.0,111,0.0,False,0.0
C1001454057,1.517256959746606e-05,0.0,74500.45,False,1,74500.45,113,0.0,False,0.0
C126978053,6.501024093130289e-05,1017875.48,0.0,False,4,0.0,113,0.0,False,0.0
C1001580637,1.517256959746606e-05,0.0,17914.2,False,1,17914.2,114,0.0,False,0.0
C2124691226,2.7631987430925268e-05,17914.2,0.0,False,1,0.0,114,0.0,False,0.0
C1001594369,1.517256959746606e-05,0.0,330066.83,False,1,330066.83,117,0.0,False,0.0
C1115404972,8.992907659822131e-05,1297944.04,0.0,False,6,0.0,117,0.0,False,0.0
C100163385,1.517256959746606e-05,0.0,215997.07,False,1,215997.07,119,0.0,False,0.0
C919146414,5.2550823097843684e-05,489420.63,0.0,False,3,0.0,119,0.0,False,0.0
C1001647768,1.517256959746606e-05,0.0,121788.99,False,1,121788.99,1658,0.0,False,0.0
C998255530,7.74696587647621e-05,693396.58,0.0,False,5,0.0,1658,0.0,False,0.0
C1001658507,1.517256959746606e-05,0.0,194077.79,False,1,194077.79,123,0.0,False,0.0
C359717784,4.0091405264384476e-05,1832154.67,0.0,False,2,0.0,123,0.0,False,0.0
C1001669794,1.517256959746606e-05,0.0,153922.26,False,1,153922.26,9204,0.0,False,0.0
C1149788645,0.00015222616576551735,5366092.399999999,0.0,False,11,0.0,9204,0.0,False,0.0
C1001680636,1.517256959746606e-05,0.0,32952.04,False,1,32952.04,5905,0.0,False,0.0
C219543946,6.501024093130289e-05,807961.6799999999,0.0,False,4,0.0,5905,0.0,False,0.0
C100168689,1.517256959746606e-05,0.0,412097.45,False,1,412097.45,129,0.0,False,0.0
C836878317,0.00010238849443168052,3108899.02,0.0,False,7,0.0,129,0.0,False,0.0
C1001696739,1.517256959746606e-05,0.0,217572.36,False,1,217572.36,131,0.0,False,0.0
C2040656033,0.00010238849443168052,6424261.25,0.0,False,7,0.0,131,0.0,False,0.0
C1001704228,1.517256959746606e-05,0.0,1250225.15,False,1,1250225.15,8868,0.0,False,0.0
C1535481925,8.992907659822131e-05,5040754.77,0.0,False,6,0.0,8868,0.0,False,0.0
C1001714072,1.517256959746606e-05,0.0,32352.1,False,1,32352.1,135,0.0,False,0.0
C1568059495,0.00015222616576551735,958893.9400000001,0.0,False,11,0.0,135,0.0,False,0.0
C1001726585,1.517256959746606e-05,0.0,39555.5,False,1,39555.5,137,0.0,False,0.0
C323745438,7.74696587647621e-05,2370276.35,0.0,False,5,0.0,137,0.0,False,0.0
C1001770327,1.517256959746606e-05,0.0,196702.14,False,1,196702.14,8011,0.0,False,0.0
C1044117371,7.746965876476209e-05,3261906.35,0.0,False,5,0.0,8011,0.0,False,0.0
C1001779603,1.517256959746606e-05,0.0,153429.54,False,1,153429.54,141,0.0,False,0.0
C2120647610,8.992907659822131e-05,785153.47,0.0,False,6,0.0,141,0.0,False,0.0
C1001833714,1.517256959746606e-05,0.0,464527.14,False,1,464527.14,143,0.0,False,0.0
C1679939068,4.0091405264384476e-05,539754.21,0.0,False,2,0.0,143,0.0,False,0.0
C1001860240,1.517256959746606e-05,0.0,205271.59,False,1,205271.59,145,0.0,False,0.0
C137728758,5.2550823097843684e-05,832011.85,0.0,False,3,0.0,145,0.0,False,0.0
C1001872599,1.517256959746606e-05,0.0,83161.93,False,1,83161.93,146,0.0,False,0.0
C1986049402,2.7631987430925268e-05,83161.93,0.0,False,1,0.0,146,0.0,False,0.0
C1001892661,1.517256959746606e-05,0.0,13698.54,False,1,13698.54,148,0.0,False,0.0
C1151644602,2.7631987430925268e-05,13698.54,0.0,False,1,0.0,148,0.0,False,0.0
C1001939515,1.517256959746606e-05,0.0,194976.89,False,1,194976.89,151,0.0,False,0.0
C742410803,0.00010238849443168052,3222825.82,0.0,False,7,0.0,151,0.0,False,0.0
C1002004721,1.517256959746606e-05,0.0,1667482.25,False,1,1667482.25,153,0.0,False,0.0
C1013700132,0.00015222616576551735,5513966.05,0.0,False,11,0.0,153,0.0,False,0.0
C1002032413,1.517256959746606e-05,0.0,594464.64,False,1,594464.64,155,0.0,False,0.0
C1359291582,4.0091405264384476e-05,1018979.5800000001,0.0,False,2,0.0,155,0.0,False,0.0
C1002048214,1.517256959746606e-05,0.0,266033.62,False,1,266033.62,157,0.0,False,0.0
C936567893,6.501024093130289e-05,1536328.92,0.0,False,4,0.0,157,0.0,False,0.0
C1002073043,1.517256959746606e-05,0.0,77103.99,False,1,77103.99,159,0.0,False,0.0
C1078598343,6.501024093130289e-05,805773.4500000001,0.0,False,4,0.0,159,0.0,False,0.0
C1002143870,1.517256959746606e-05,0.0,228008.2,False,1,228008.2,161,0.0,False,0.0
C175902979,2.7631987430925268e-05,228008.2,0.0,False,1,0.0,161,0.0,False,0.0
C1002165221,1.517256959746606e-05,0.0,157829.33,False,1,157829.33,163,0.0,False,0.0
C1178471274,0.00011484791226513974,3161780.61,0.0,False,8,0.0,163,0.0,False,0.0
C1002174268,1.517256959746606e-05,0.0,2175250.97,False,1,2175250.97,164,0.0,False,0.0
C753926456,0.00010238849443168052,3917502.54,0.0,False,7,0.0,164,0.0,False,0.0
C1002175133,1.517256959746606e-05,0.0,126651.16,False,1,126651.16,166,0.0,False,0.0
C265938396,4.0091405264384476e-05,171385.04,0.0,False,2,0.0,166,0.0,False,0.0
C1002214200,1.517256959746606e-05,0.0,178565.09,False,1,178565.09,169,0.0,False,0.0
C576962555,4.0091405264384476e-05,386602.54000000004,0.0,False,2,0.0,169,0.0,False,0.0
C1002216592,1.517256959746606e-05,0.0,101289.27,False,1,101289.27,171,0.0,False,0.0
C1880332929,0.00015222616576551735,6533467.18,0.0,False,11,0.0,171,0.0,False,0.0
C1002240678,1.517256959746606e-05,0.0,54926.82,False,1,54926.82,173,0.0,False,0.0
C1261940766,0.00011484791226513974,1681244.4100000001,0.0,False,8,0.0,173,0.0,False,0.0
C1002269345,1.517256959746606e-05,0.0,55276.7,False,1,55276.7,175,0.0,False,0.0
C1013296540,4.0091405264384476e-05,353342.0,0.0,False,2,0.0,175,0.0,False,0.0
C1002310051,1.517256959746606e-05,0.0,19230.33,False,1,19230.33,4125,0.0,False,0.0
C395525501,8.99290765982213e-05,1373931.79,0.0,False,6,0.0,4125,0.0,False,0.0
C10023385,1.517256959746606e-05,0.0,742564.64,False,1,742564.64,179,0.0,False,0.0
C184253187,0.00011484791226513974,7207800.33,0.0,False,8,0.0,179,0.0,False,0.0
C1002348639,1.517256959746606e-05,0.0,156078.8,False,1,156078.8,7912,0.0,False,0.0
C1054410157,0.00010238849443168052,1664512.8599999999,0.0,False,7,0.0,7912,0.0,False,0.0
C1002398876,1.517256959746606e-05,0.0,169406.37,False,1,169406.37,183,0.0,False,0.0
C310976964,7.74696587647621e-05,872353.95,0.0,False,5,0.0,183,0.0,False,0.0
C1002417864,1.517256959746606e-05,0.0,750270.52,False,1,750270.52,185,0.0,False,0.0
C1778801068,0.00013976674793205816,3888228.95,0.0,False,10,0.0,185,0.0,False,0.0
C1002420929,1.517256959746606e-05,0.0,94051.67,False,1,94051.67,187,0.0,False,0.0
C967218202,5.2550823097843684e-05,171589.95,0.0,False,3,0.0,187,0.0,False,0.0
C1002486339,1.517256959746606e-05,0.0,87329.53,False,1,87329.53,189,0.0,False,0.0
C808713298,2.7631987430925268e-05,87329.53,0.0,False,1,0.0,189,0.0,False,0.0
C1002497280,1.517256959746606e-05,0.0,416157.86,False,1,416157.86,191,0.0,False,0.0
C527492773,7.74696587647621e-05,1896634.84,0.0,False,5,0.0,191,0.0,False,0.0
C1002502171,1.517256959746606e-05,0.0,161715.15,False,1,161715.15,193,0.0,False,0.0
C1411544406,4.0091405264384476e-05,178640.51,0.0,False,2,0.0,193,0.0,False,0.0
C1002521609,1.517256959746606e-05,0.0,230057.56,False,1,230057.56,195,0.0,False,0.0
C1592415783,0.00011484791226513974,1043676.83,0.0,False,8,0.0,195,0.0,False,0.0
C1002523949,1.517256959746606e-05,0.0,354450.75,False,1,354450.75,197,0.0,False,0.0
C44527520,2.7631987430925268e-05,354450.75,0.0,False,1,0.0,197,0.0,False,0.0
C1002604886,1.517256959746606e-05,0.0,473933.14,False,1,473933.14,199,0.0,False,0.0
C1302931951,0.00011484791226513974,2315821.35,0.0,False,8,0.0,199,0.0,False,0.0
C100261245,1.517256959746606e-05,0.0,375201.48,False,1,375201.48,201,0.0,False,0.0
C2046611860,0.00010238849443168052,1669516.48,0.0,False,7,0.0,201,0.0,False,0.0
C1002693136,1.517256959746606e-05,0.0,316270.85,False,1,316270.85,203,0.0,False,0.0
C895358660,4.0091405264384476e-05,671868.6599999999,0.0,False,2,0.0,203,0.0,False,0.0
C1002708978,1.517256959746606e-05,0.0,1470182.01,False,1,1470182.01,205,0.0,False,0.0
C921733929,0.00010238849443168052,3109358.0500000003,0.0,False,7,0.0,205,0.0,False,0.0
C1002713153,1.517256959746606e-05,0.0,135578.47,False,1,135578.47,207,0.0,False,0.0
C1193690398,4.0091405264384476e-05,471195.36,0.0,False,2,0.0,207,0.0,False,0.0
C1002750213,1.517256959746606e-05,0.0,413009.92,False,1,413009.92,209,0.0,False,0.0
C1192937442,7.74696587647621e-05,1581064.29,0.0,False,5,0.0,209,0.0,False,0.0
C100277171,1.517256959746606e-05,0.0,64580.82,False,1,64580.82,211,0.0,False,0.0
C327527492,4.0091405264384476e-05,291312.22,0.0,False,2,0.0,211,0.0,False,0.0
C1002781680,1.517256959746606e-05,0.0,160503.37,False,1,160503.37,4481,0.0,False,0.0
C1954824726,8.992907659822131e-05,1498166.46,0.0,False,6,0.0,4481,0.0,False,0.0
C1002843071,1.517256959746606e-05,0.0,223784.1,False,1,223784.1,215,0.0,False,0.0
C2035219029,5.2550823097843684e-05,791182.63,0.0,False,3,0.0,215,0.0,False,0.0
C1002875943,1.517256959746606e-05,0.0,68741.15,False,1,68741.15,217,0.0,False,0.0
C1123060701,4.0091405264384476e-05,117298.73,0.0,False,2,0.0,217,0.0,False,0.0
C1002908802,1.517256959746606e-05,0.0,47991.47,False,1,47991.47,218,0.0,False,0.0
C256772552,2.7631987430925268e-05,47991.47,0.0,False,1,0.0,218,0.0,False,0.0
C100302289,1.517256959746606e-05,0.0,176662.1,False,1,176662.1,220,0.0,False,0.0
C1755380031,2.7631987430925268e-05,176662.1,0.0,False,1,0.0,220,0.0,False,0.0
C100303560,1.517256959746606e-05,0.0,226416.77,False,1,226416.77,223,0.0,False,0.0
C510627173,2.7631987430925268e-05,226416.77,0.0,False,1,0.0,223,0.0,False,0.0
C1003040412,1.517256959746606e-05,0.0,77452.14,False,1,77452.14,225,0.0,False,0.0
C631073451,8.992907659822131e-05,1193692.71,0.0,False,6,0.0,225,0.0,False,0.0
C1003059913,1.517256959746606e-05,0.0,28239.27,False,1,28239.27,227,0.0,False,0.0
C619068319,0.00010238849443168052,720648.79,0.0,False,7,0.0,227,0.0,False,0.0
C1003071810,1.517256959746606e-05,0.0,282061.92,False,1,282061.92,228,0.0,False,0.0
C1901817576,2.7631987430925268e-05,282061.92,0.0,False,1,0.0,228,0.0,False,0.0
C1003072918,1.517256959746606e-05,0.0,477451.66,False,1,477451.66,9549,0.0,False,0.0
C1730312920,7.74696587647621e-05,1854959.76,0.0,False,5,0.0,9549,0.0,False,0.0
C1003090617,1.517256959746606e-05,0.0,778519.39,False,1,778519.39,233,0.0,False,0.0
C246785519,6.501024093130289e-05,3013275.07,0.0,False,4,0.0,233,0.0,False,0.0
C100317022,1.517256959746606e-05,0.0,71571.08,False,1,71571.08,235,0.0,False,0.0
C1547713771,4.0091405264384476e-05,91472.72,0.0,False,2,0.0,235,0.0,False,0.0
C1003205881,1.517256959746606e-05,0.0,121220.2,False,1,121220.2,237,0.0,False,0.0
C789195255,5.2550823097843684e-05,502318.27,0.0,False,3,0.0,237,0.0,False,0.0
C1003223221,1.517256959746606e-05,0.0,84176.83,False,1,84176.83,1344,0.0,False,0.0
C974777645,4.0091405264384476e-05,214488.69,0.0,False,2,0.0,1344,0.0,False,0.0
C1003240711,1.517256959746606e-05,0.0,1336715.58,False,1,1336715.58,1982,0.0,False,0.0
C1204684191,0.00016468558359897652,6615636.26,0.0,False,12,0.0,1982,0.0,False,0.0
C100331403,1.517256959746606e-05,0.0,201557.55,False,1,201557.55,9006,0.0,False,0.0
C910539221,8.992907659822131e-05,2250288.37,0.0,False,6,0.0,9006,0.0,False,0.0
C1003320369,1.517256959746606e-05,0.0,84168.43,False,1,84168.43,245,0.0,False,0.0
C172395852,7.746965876476209e-05,1140173.6400000001,0.0,False,5,0.0,245,0.0,False,0.0
C1003353224,1.517256959746606e-05,0.0,181337.7,False,1,181337.7,246,0.0,False,0.0
C488275270,4.0091405264384476e-05,261779.73,0.0,False,2,0.0,246,0.0,False,0.0
C1003482102,1.517256959746606e-05,0.0,456487.25,False,1,456487.25,249,0.0,False,0.0
C751413576,8.992907659822131e-05,1140283.87,0.0,False,6,0.0,249,0.0,False,0.0
C1003484185,1.517256959746606e-05,0.0,37654.59,False,1,37654.59,99,0.0,False,0.0
C1003526443,1.517256959746606e-05,0.0,1682077.77,False,1,1682077.77,251,0.0,False,0.0
C449261773,2.7631987430925268e-05,1682077.77,0.0,False,1,0.0,251,0.0,False,0.0
C100355963,1.517256959746606e-05,0.0,6402.46,False,1,6402.46,253,0.0,False,0.0
C512037099,2.7631987430925268e-05,6402.46,0.0,False,1,0.0,253,0.0,False,0.0
C1003578492,1.517256959746606e-05,0.0,686697.52,False,1,686697.52,256,0.0,False,0.0
C1360083374,5.2550823097843684e-05,929063.17,0.0,False,3,0.0,256,0.0,False,0.0
C1003598110,1.517256959746606e-05,0.0,116496.0,False,1,116496.0,258,0.0,False,0.0
C193625667,0.00012730733009859893,8140475.68,0.0,False,9,0.0,258,0.0,False,0.0
C1003619914,1.517256959746606e-05,0.0,512329.26,False,1,512329.26,260,0.0,False,0.0
C477027357,4.0091405264384476e-05,577599.76,0.0,False,2,0.0,260,0.0,False,0.0
C1003663195,1.517256959746606e-05,0.0,132382.57,False,1,132382.57,262,0.0,False,0.0
C991505714,0.00025190150843319096,14150871.0,0.0,False,19,0.0,262,0.0,False,0.0
C1003665479,1.517256959746606e-05,0.0,137837.54,False,1,137837.54,264,0.0,False,0.0
C760153662,2.7631987430925268e-05,137837.54,0.0,False,1,0.0,264,0.0,False,0.0
C1003681306,1.517256959746606e-05,0.0,225473.5,False,1,225473.5,2227,0.0,False,0.0
C1116292004,8.99290765982213e-05,2219277.9,0.0,False,6,0.0,2227,0.0,False,0.0
C1003710644,1.517256959746606e-05,0.0,226596.28,False,1,226596.28,268,0.0,False,0.0
C1673108714,5.2550823097843684e-05,513715.81,0.0,False,3,0.0,268,0.0,False,0.0
C1003727038,1.517256959746606e-05,0.0,38926.58,False,1,38926.58,7010,0.0,False,0.0
C803793969,5.2550823097843684e-05,210667.09,0.0,False,3,0.0,7010,0.0,False,0.0
C1003752190,1.517256959746606e-05,0.0,193464.8,False,1,193464.8,271,0.0,False,0.0
C429582623,2.7631987430925268e-05,193464.8,0.0,False,1,0.0,271,0.0,False,0.0
C1003792263,1.517256959746606e-05,0.0,317727.13,False,1,317727.13,274,0.0,False,0.0
C387517585,2.7631987430925268e-05,317727.13,0.0,False,1,0.0,274,0.0,False,0.0
C1003927788,1.517256959746606e-05,0.0,460815.39,False,1,460815.39,276,0.0,False,0.0
C1086319891,2.7631987430925268e-05,460815.39,0.0,False,1,0.0,276,0.0,False,0.0
C1003957987,1.517256959746606e-05,0.0,274834.55,False,1,274834.55,8275,0.0,False,0.0
C349360156,6.501024093130289e-05,1191261.83,0.0,False,4,0.0,8275,0.0,False,0.0
C1003960052,1.517256959746606e-05,0.0,56989.73,False,1,56989.73,280,0.0,False,0.0
C1428935547,5.2550823097843684e-05,329054.25,0.0,False,3,0.0,280,0.0,False,0.0
C100396780,1.517256959746606e-05,0.0,31894.85,False,1,31894.85,282,0.0,False,0.0
C1587017479,7.74696587647621e-05,657839.63,0.0,False,5,0.0,282,0.0,False,0.0
C1003996225,1.517256959746606e-05,0.0,1134627.9,False,1,1134627.9,284,0.1,False,0.0
C12793273,0.00012730733009859893,2976016.61,0.0,False,9,0.0,284,0.1,False,0.0
C1004011295,1.517256959746606e-05,0.0,305292.19,False,1,305292.19,286,0.0,False,0.0
C447691425,0.00013976674793205816,8493138.42,0.0,False,10,0.0,286,0.0,False,0.0
C1004022387,1.517256959746606e-05,0.0,67407.69,False,1,67407.69,288,0.0,False,0.0
C624685600,0.00013976674793205816,3623707.96,0.0,False,10,0.0,288,0.0,False,0.0
C1004029661,1.517256959746606e-05,0.0,187522.33,False,1,187522.33,290,0.0,False,0.0
C772873662,5.2550823097843684e-05,397790.88,0.0,False,3,0.0,290,0.0,False,0.0
C1004039432,1.517256959746606e-05,0.0,200074.29,False,1,200074.29,5481,0.0,False,0.0
C1629439751,8.992907659822131e-05,2433074.61,0.0,False,6,0.0,5481,0.0,False,0.0
C1004055060,1.517256959746606e-05,0.0,108384.58,False,1,108384.58,294,0.0,False,0.0
C1273939873,0.00016468558359897652,3184587.02,0.0,False,12,0.0,294,0.0,False,0.0
