transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
5548,9.1,13,Grocery,0,0,65,3,37,0
36,297.42,7,Clothing,0,0,65,2,66,0
8363,47.84,14,Clothing,0,0,31,1,51,0
1514,3.31,4,Food,1,0,33,1,34,0
9318,83.13,17,Electronics,0,0,58,5,32,0
40,104.42,8,Electronics,0,0,99,1,31,0
4820,39.99,19,Clothing,0,0,98,1,34,0
3466,219.83,23,Food,0,0,38,3,51,0
1761,109.05,3,Grocery,0,0,97,3,19,0
2305,483.23,17,Electronics,0,0,47,3,58,0
3724,36.98,18,Food,0,0,34,5,37,0
8285,159.52,14,Travel,0,0,58,2,28,0
4994,188.18,13,Clothing,0,0,96,0,26,0
8128,488.21,1,Electronics,0,1,25,1,33,1
3033,250.21,12,Food,0,0,62,4,33,0
7939,80.15,14,Electronics,0,1,38,4,23,0
3040,131.63,20,Clothing,0,0,35,1,27,0
9656,148.88,0,Travel,0,0,38,0,59,0
2546,120.37,8,Clothing,0,0,45,2,23,0
2593,144.73,20,Food,0,0,74,0,51,0
1189,64.45,10,Food,0,0,79,2,38,0
7967,57.86,4,Electronics,0,0,40,1,36,0
6078,141.39,0,Food,0,0,49,5,34,0
108,253.57,21,Travel,0,1,38,2,25,0
1316,185.7,9,Clothing,0,0,88,0,29,0
8188,495.15,6,Food,0,0,96,2,32,0
2754,76.21,6,Travel,0,0,50,2,48,0
9754,263.35,9,Electronics,0,0,65,1,25,0
6232,436.13,16,Grocery,0,0,59,7,64,0
2877,123.88,20,Electronics,0,0,54,3,62,0
5324,1209.52,3,Clothing,0,0,68,3,51,0
800,460.34,7,Travel,0,0,44,1,68,0
3571,67.81,0,Travel,0,0,65,2,44,0
2895,29.59,13,Travel,0,0,84,1,20,0
2928,754.26,20,Electronics,0,0,51,3,63,0
8179,7.41,2,Grocery,0,0,76,3,23,0
972,497.15,8,Grocery,0,0,61,1,23,0
6688,78.02,12,Food,0,0,34,3,67,0
8576,13.04,14,Electronics,0,0,77,3,36,0
2021,595.36,0,Food,0,0,86,0,36,0
9055,154.25,15,Clothing,0,0,46,3,23,0
953,34.71,15,Grocery,0,0,75,1,60,0
5360,124.17,23,Electronics,0,0,57,1,35,0
3858,144.0,8,Grocery,0,0,80,2,52,0
5862,131.37,21,Travel,0,0,67,0,57,0
3146,82.72,9,Travel,1,0,71,3,19,0
3306,77.69,22,Clothing,0,0,92,2,19,0
3007,425.77,2,Food,0,0,42,4,22,0
9002,134.14,17,Food,0,0,66,1,43,0
7771,126.17,6,Clothing,0,0,59,0,34,0
7439,59.03,20,Electronics,0,0,64,3,36,0
7943,416.75,4,Grocery,0,0,56,1,45,0
9239,123.41,18,Clothing,1,0,87,3,49,0
1057,262.35,15,Grocery,0,0,44,0,55,0
3155,105.19,9,Travel,0,0,47,4,60,0
3788,112.25,9,Electronics,0,0,47,4,54,0
9190,302.96,16,Clothing,0,0,36,0,22,0
7826,349.74,1,Grocery,0,0,90,1,60,0
7540,90.06,0,Electronics,0,0,94,4,28,0
7232,105.14,2,Travel,0,0,42,3,20,0
765,6.14,1,Travel,0,0,49,0,65,0
5020,351.26,2,Food,0,0,84,1,65,0
4904,66.19,15,Electronics,0,0,73,0,42,0
8094,671.93,14,Travel,0,0,67,4,63,0
6844,16.07,21,Travel,0,0,42,1,66,0
2166,696.28,8,Food,0,0,32,1,50,0
1863,35.16,7,Food,0,0,92,2,69,0
7851,65.03,23,Travel,1,0,80,2,32,0
9124,405.8,13,Electronics,0,0,73,0,31,0
2341,250.38,4,Electronics,0,0,79,1,25,0
5528,15.29,16,Electronics,1,0,74,1,39,0
6744,356.29,19,Clothing,0,0,76,5,36,0
4004,30.08,2,Food,1,0,85,1,28,0
1124,298.47,16,Electronics,0,0,33,3,55,0
8710,231.45,21,Clothing,0,0,67,3,33,0
4050,40.51,3,Electronics,1,0,34,1,36,1
7641,107.62,2,Travel,0,0,91,0,29,0
766,151.87,12,Travel,0,0,71,1,28,0
2345,511.67,16,Clothing,0,0,44,3,47,0
4072,203.13,9,Electronics,1,0,73,2,63,0
7217,150.14,19,Food,1,0,94,1,33,0
4217,7.64,12,Travel,0,0,40,2,48,0
7953,166.29,20,Clothing,0,0,46,2,21,0
5971,282.04,22,Travel,1,0,83,4,33,0
3351,43.55,5,Clothing,0,0,51,3,25,0
4696,381.52,3,Clothing,0,0,74,1,69,0
3400,154.74,0,Travel,0,0,28,2,32,0
4082,47.83,13,Travel,0,0,68,0,18,0
9150,141.42,23,Travel,1,0,59,3,37,0
1225,97.97,5,Grocery,0,1,44,3,44,0
6293,545.47,4,Electronics,0,0,45,3,27,0
3123,11.62,22,Grocery,0,0,75,1,46,0
511,171.07,19,Travel,0,1,62,4,57,0
5795,125.8,2,Travel,0,0,29,2,34,0
8182,29.88,2,Clothing,0,0,65,4,51,0
9418,55.27,3,Grocery,0,0,39,1,43,0
97,133.14,21,Electronics,0,0,80,2,22,0
6682,47.79,18,Clothing,0,0,32,1,53,0
1513,560.3,14,Food,1,0,39,1,23,0
8792,10.71,2,Clothing,0,0,84,1,46,0
120,139.52,14,Grocery,0,0,61,0,43,0
7792,44.57,1,Grocery,0,0,96,4,49,0
6518,233.8,7,Clothing,0,0,91,6,47,0
34,535.26,6,Clothing,0,0,44,7,50,0
7888,90.18,2,Grocery,0,0,36,1,23,0
6831,482.68,17,Grocery,0,0,93,1,45,0
5422,66.65,5,Grocery,0,0,52,3,42,0
1069,78.83,0,Travel,0,0,61,2,42,0
1348,83.46,15,Travel,0,0,98,1,54,0
4748,7.15,16,Electronics,0,0,40,2,55,0
6006,590.24,1,Clothing,0,0,96,2,50,0
6040,362.59,11,Grocery,0,0,37,1,30,0
3818,312.25,8,Electronics,0,0,69,1,68,0
8447,149.86,14,Travel,0,0,97,6,42,0
5270,65.47,18,Travel,0,0,50,3,26,0
6898,0.66,21,Food,0,0,26,1,37,0
5310,403.86,1,Clothing,0,0,38,1,32,0
32,33.65,9,Grocery,0,0,51,2,65,0
5675,570.49,14,Electronics,0,0,62,4,56,0
4387,578.46,23,Food,0,0,51,2,38,0
30,8.56,20,Grocery,0,0,85,1,20,0
4203,24.15,18,Food,0,0,62,2,37,0
7508,71.27,14,Travel,0,0,27,1,34,0
736,377.5,21,Travel,0,0,41,3,33,0
2068,53.86,0,Clothing,0,0,54,1,64,0
107,95.09,4,Food,0,1,78,6,24,0
9645,85.0,15,Food,0,0,62,1,28,0
8895,1.75,18,Electronics,0,0,52,2,65,0
8021,124.0,14,Food,0,0,32,6,51,0
2233,419.75,6,Grocery,0,0,67,0,37,0
994,160.59,14,Grocery,0,0,96,0,39,0
9413,252.39,10,Food,0,0,48,3,55,0
7059,413.77,15,Grocery,0,0,68,3,32,0
6790,143.95,7,Grocery,0,0,81,1,47,0
361,88.43,17,Electronics,0,0,75,0,53,0
305,233.09,20,Grocery,0,0,46,1,29,0
2628,209.09,15,Food,0,0,72,2,54,0
8966,194.99,22,Food,0,0,46,2,51,0
4514,176.88,2,Electronics,0,0,80,2,62,0
5911,93.86,15,Food,0,1,69,1,67,0
8314,167.24,21,Food,1,0,57,2,44,0
3101,17.5,8,Electronics,0,0,44,2,38,0
5704,52.34,7,Clothing,1,0,63,0,57,0
3899,139.89,23,Food,0,1,36,2,37,0
5441,111.02,5,Clothing,0,0,43,6,57,0
7931,310.47,15,Clothing,0,0,67,2,62,0
622,42.28,18,Grocery,0,0,39,1,57,0
7236,115.45,8,Grocery,0,0,39,5,43,0
2499,710.94,20,Electronics,0,0,28,1,21,0
714,95.54,7,Food,0,0,31,1,24,0
8404,139.14,13,Clothing,0,0,90,0,21,0
2856,126.92,6,Electronics,0,0,40,2,67,0
4270,507.93,19,Travel,0,0,42,3,66,0
2909,65.28,4,Grocery,0,0,33,1,19,0
8081,67.78,23,Food,0,0,43,2,32,0
4517,132.63,0,Food,1,0,91,1,43,0
1262,287.52,14,Electronics,0,1,45,0,33,0
3161,105.63,4,Electronics,0,0,93,4,24,0
971,196.14,19,Food,0,0,76,3,44,0
3913,1.15,15,Travel,0,0,65,2,65,0
5199,88.16,9,Electronics,0,0,28,2,21,0
8847,486.86,12,Clothing,0,0,27,5,63,0
260,18.4,7,Clothing,0,0,85,0,21,0
3791,43.5,4,Clothing,0,0,75,1,61,0
9203,164.61,21,Grocery,0,0,29,3,62,0
488,59.37,20,Clothing,1,0,75,4,27,0
7908,286.19,11,Clothing,0,0,30,1,65,0
519,785.57,11,Travel,1,0,74,1,66,0
8343,35.68,16,Clothing,0,0,32,2,42,0
312,14.71,22,Electronics,0,0,38,0,61,0
3232,168.46,9,Clothing,0,0,79,3,29,0
7933,163.46,20,Electronics,0,0,79,1,58,0
7458,93.37,15,Clothing,0,0,36,2,25,0
9784,500.18,7,Grocery,0,0,86,1,36,0
5184,493.1,12,Electronics,1,0,64,0,47,0
8077,169.27,5,Clothing,0,0,79,5,54,0
6502,15.02,12,Food,0,0,53,0,30,0
6791,314.65,20,Grocery,0,0,97,5,67,0
7773,51.53,7,Travel,1,0,37,1,60,0
2738,141.54,15,Clothing,1,0,55,2,64,0
7842,104.21,6,Travel,0,1,43,2,34,0
6262,343.34,23,Grocery,0,0,92,0,38,0
8206,53.01,22,Clothing,0,0,97,1,62,0
1248,5.95,3,Clothing,0,0,72,2,61,0
9336,42.72,11,Food,0,0,37,4,27,0
4195,173.77,19,Clothing,0,0,60,1,68,0
8001,229.31,13,Electronics,0,0,25,2,24,0
7378,92.79,7,Food,1,0,92,2,61,0
3435,221.21,13,Food,0,0,58,0,47,0
5382,126.39,6,Travel,0,0,41,1,30,0
959,32.74,21,Clothing,0,0,91,3,54,0
417,62.46,12,Grocery,0,1,64,2,37,0
5742,151.7,2,Travel,0,0,77,1,42,0
6728,16.92,6,Travel,0,1,85,5,35,0
4382,13.29,23,Travel,0,1,60,6,21,0
5197,241.47,2,Clothing,0,0,28,0,50,0
1113,45.61,4,Electronics,0,0,30,3,59,0
2689,122.22,23,Clothing,0,0,75,3,66,0
6473,187.7,16,Grocery,0,0,41,4,52,0
8820,75.41,16,Travel,0,0,83,3,41,0
7808,347.05,14,Electronics,0,0,83,2,45,0
3411,95.34,20,Electronics,0,0,47,1,23,0
81,357.94,12,Electronics,0,0,83,3,50,0
4614,20.78,8,Grocery,0,0,41,1,29,0
1374,122.01,18,Grocery,0,0,73,4,47,0
1510,260.58,7,Grocery,0,0,72,3,22,0
6443,230.97,6,Food,0,0,52,1,46,0
3071,220.74,2,Food,0,0,47,0,46,0
3016,73.18,1,Travel,0,0,66,4,62,0
4823,85.19,16,Grocery,0,0,26,0,30,0
7822,86.38,12,Clothing,1,0,56,4,26,0
93,257.47,14,Grocery,0,0,69,2,64,0
9421,464.71,5,Grocery,0,0,71,1,33,0
6600,156.83,14,Food,0,0,78,2,29,0
4443,45.8,1,Electronics,1,0,80,2,63,0
7602,34.99,0,Food,0,0,43,1,50,0
3835,110.62,12,Food,1,0,27,2,19,0
9702,43.57,12,Clothing,0,0,25,3,66,0
4322,494.62,7,Food,0,1,59,3,62,0
3394,70.83,2,Food,0,0,27,1,43,0
4752,105.72,3,Clothing,0,0,91,3,37,0
7229,530.2,3,Travel,0,0,56,1,50,0
9191,421.78,0,Food,0,1,95,2,31,0
2361,2.12,19,Grocery,1,0,45,2,36,0
1148,193.37,20,Travel,1,0,84,1,25,0
5666,273.74,0,Grocery,0,0,99,2,67,0
8075,322.45,5,Grocery,0,0,83,6,63,0
4943,339.66,8,Food,0,0,28,1,34,0
3663,9.28,22,Food,1,0,87,1,46,0
1563,272.97,18,Grocery,0,0,46,2,46,0
4113,12.95,2,Food,0,1,79,1,59,0
9050,130.89,0,Grocery,0,0,46,2,24,0
9276,73.75,19,Electronics,0,0,47,0,42,0
8538,393.37,18,Grocery,0,0,69,5,64,0
795,3.29,23,Electronics,0,0,48,2,29,0
5854,358.84,2,Travel,0,0,64,2,57,0
7619,638.65,2,Food,0,0,60,4,51,0
1594,19.79,15,Food,0,1,52,1,59,0
7418,36.12,22,Grocery,1,0,49,1,36,0
5267,61.87,13,Grocery,0,0,28,2,31,0
7147,252.3,4,Travel,0,0,31,1,57,0
89,392.81,22,Clothing,0,0,66,4,59,0
8695,131.72,16,Electronics,0,0,67,3,41,0
9732,248.21,10,Electronics,0,0,26,0,36,0
9446,8.21,19,Travel,1,1,84,1,35,0
6754,16.28,20,Electronics,0,0,48,2,40,0
3502,292.09,14,Clothing,0,0,30,1,52,0
2234,344.22,5,Travel,0,0,32,2,63,0
2803,517.88,23,Travel,0,0,80,6,30,0
4424,234.79,22,Electronics,0,0,56,2,21,0
5663,301.65,1,Clothing,0,0,67,1,29,0
7170,49.82,13,Grocery,0,0,26,1,62,0
8337,509.33,14,Grocery,0,0,53,3,56,0
2148,79.71,11,Food,0,0,93,1,21,0
7969,98.16,19,Food,0,0,42,2,52,0
6551,73.19,22,Electronics,0,0,56,2,40,0
7643,103.82,6,Electronics,0,0,89,6,56,0
6164,83.83,16,Food,0,0,56,2,53,0
1495,166.49,20,Electronics,0,1,36,2,50,0
7696,204.05,1,Grocery,0,0,81,2,53,0
7094,24.47,3,Food,0,0,39,2,64,0
1409,158.46,15,Clothing,1,0,95,2,30,0
6691,281.03,20,Clothing,0,0,31,4,25,0
3401,12.53,15,Grocery,0,0,87,3,25,0
109,46.76,5,Travel,0,0,56,3,68,0
5636,10.56,9,Clothing,0,1,93,1,48,0
8482,51.29,2,Grocery,0,0,97,1,33,0
6604,296.21,22,Clothing,0,0,64,1,61,0
1091,514.8,13,Grocery,1,0,31,0,48,0
5560,183.45,16,Electronics,0,0,85,0,27,0
9412,200.09,7,Clothing,0,0,96,2,21,0
8143,186.34,15,Travel,0,0,47,3,20,0
8664,124.04,18,Travel,0,1,67,3,38,0
6596,57.22,15,Food,1,0,93,3,41,0
624,119.28,1,Grocery,0,0,77,1,18,0
6871,125.88,12,Food,0,0,97,0,52,0
4814,129.06,5,Food,0,0,35,1,58,0
6553,158.59,0,Clothing,0,0,73,4,24,0
7530,54.06,4,Grocery,0,0,89,2,48,0
5796,285.35,11,Food,0,0,29,2,28,0
7437,42.59,14,Clothing,0,1,48,2,40,0
4218,124.09,18,Grocery,0,0,34,1,32,0
5941,95.32,12,Clothing,0,0,36,4,37,0
8501,99.45,12,Travel,0,0,78,0,42,0
6429,56.23,1,Travel,0,0,67,3,34,0
6827,39.55,17,Food,0,0,84,2,48,0
4131,57.13,13,Travel,0,0,31,2,51,0
7802,23.64,11,Food,0,0,97,1,57,0
7754,99.72,9,Food,1,1,62,1,29,0
4722,10.13,20,Clothing,0,0,58,3,36,0
1651,6.63,7,Grocery,0,0,50,3,33,0
4141,75.54,5,Electronics,0,0,76,2,65,0
1618,195.16,16,Clothing,0,1,90,2,40,0
2030,191.13,11,Clothing,0,0,97,2,61,0
8518,462.21,16,Electronics,0,0,75,0,65,0
4576,67.47,6,Clothing,0,0,90,4,45,0
3993,251.32,17,Grocery,0,0,48,1,38,0
7377,134.88,0,Food,1,0,73,2,68,0
6150,526.0,23,Clothing,0,0,91,1,27,0
4909,243.56,19,Grocery,0,0,92,3,55,0
5027,53.93,21,Food,1,0,90,1,60,0
8261,16.11,9,Electronics,0,0,93,3,32,0
4732,12.6,12,Electronics,0,0,42,1,38,0
7549,318.58,0,Travel,0,0,75,1,32,0
8135,205.92,7,Clothing,0,0,34,4,21,0
1607,12.6,21,Clothing,0,0,34,1,65,0
4774,307.54,20,Electronics,0,0,29,2,63,0
8110,264.86,23,Grocery,0,0,29,1,52,0
6952,115.56,10,Clothing,0,0,77,2,31,0
6005,30.79,7,Grocery,0,0,72,1,26,0
7729,488.38,21,Clothing,0,0,67,2,63,0
3542,298.01,4,Clothing,0,0,43,2,18,0
389,249.98,9,Food,0,0,64,3,44,0
1795,7.66,14,Grocery,0,0,44,1,51,0
8732,244.8,7,Grocery,0,1,88,6,60,0
4920,74.47,22,Clothing,0,0,62,0,34,0
5538,377.39,22,Clothing,0,1,98,3,63,0
3873,30.7,14,Food,0,0,77,2,35,0
8869,188.5,22,Travel,0,0,58,1,28,0
2255,380.12,15,Grocery,0,0,62,3,37,0
3413,4.08,9,Travel,0,0,62,1,23,0
5460,556.87,0,Electronics,0,0,81,1,49,0
4956,248.79,19,Travel,0,0,41,2,44,0
7397,31.92,19,Clothing,0,0,85,0,19,0
5415,9.1,19,Grocery,1,0,31,2,57,0
7400,51.76,12,Electronics,0,0,30,1,67,0
7415,119.54,3,Electronics,0,0,43,0,69,0
9101,154.62,16,Travel,0,0,98,4,53,0
4852,86.52,19,Clothing,0,0,64,3,20,0
2026,54.24,17,Grocery,0,0,31,3,69,0
2616,19.34,0,Travel,0,0,26,2,40,0
7389,60.7,3,Clothing,0,0,83,3,66,0
2927,295.83,7,Grocery,0,0,46,2,26,0
1122,560.82,19,Food,0,0,85,3,56,0
2911,47.14,9,Food,1,0,36,4,37,0
8147,65.16,4,Travel,0,0,39,2,40,0
7384,148.25,23,Clothing,0,0,78,2,18,0
3483,58.39,8,Grocery,0,0,55,1,69,0
796,370.2,8,Grocery,0,0,73,4,68,0
1576,18.11,19,Food,0,0,97,1,69,0
6177,148.43,8,Grocery,0,0,78,1,45,0
6267,717.43,23,Electronics,0,0,84,2,54,0
2459,120.81,17,Food,1,0,80,2,48,0
3313,222.05,16,Food,0,1,30,0,37,0
1254,24.07,8,Food,0,0,35,2,30,0
6835,422.03,7,Grocery,0,0,50,2,33,0
8795,103.5,18,Clothing,0,0,82,2,59,0
3838,22.73,21,Food,0,0,52,4,44,0
4399,33.51,2,Food,0,0,60,2,32,0
3596,186.29,1,Grocery,0,0,69,1,52,0
6622,93.87,7,Electronics,0,0,56,0,69,0
8383,195.73,14,Electronics,0,0,43,3,64,0
2125,745.58,3,Electronics,0,0,94,3,39,0
3239,172.42,4,Clothing,0,1,92,0,68,0
5404,51.22,19,Electronics,0,0,87,6,43,0
5999,119.55,13,Food,0,1,80,1,53,0
5939,49.16,15,Grocery,1,0,71,0,51,0
2046,230.95,16,Travel,0,0,42,1,44,0
1579,168.15,1,Electronics,0,0,97,1,47,0
15,36.12,15,Electronics,0,0,37,2,69,0
2674,39.99,14,Travel,0,1,93,1,49,0
7017,49.72,23,Travel,0,0,85,0,18,0
8721,67.64,13,Electronics,0,1,94,1,64,0
8850,8.27,19,Grocery,1,0,84,3,58,0
4813,2.4,8,Electronics,0,0,92,1,45,0
1085,521.2,8,Travel,0,0,80,3,50,0
4984,328.85,9,Travel,0,0,82,1,21,0
7156,311.45,20,Grocery,0,0,27,2,24,0
2885,12.87,11,Grocery,0,0,91,3,62,0
334,22.21,22,Electronics,0,0,57,1,67,0
7205,489.22,19,Clothing,0,0,96,3,51,0
4368,104.96,19,Food,0,0,69,2,41,0
3080,521.21,14,Electronics,0,0,98,1,58,0
7204,21.5,21,Grocery,0,0,74,2,21,0
9910,5.56,9,Travel,1,0,45,1,68,0
8865,2.31,20,Food,0,0,41,2,32,0
264,131.49,8,Clothing,0,0,38,4,55,0
4338,418.84,0,Food,0,0,40,3,31,0
8896,27.16,9,Clothing,0,0,30,1,45,0
8448,352.2,7,Clothing,0,1,41,4,54,0
5904,84.84,4,Food,0,0,47,1,48,0
1499,85.98,3,Electronics,0,0,90,2,47,0
4191,252.05,23,Grocery,0,0,60,2,27,0
7486,204.35,4,Food,0,1,97,0,62,0
9644,25.51,1,Food,0,0,81,0,29,0
8311,116.59,7,Travel,0,0,78,0,23,0
7591,38.38,0,Electronics,0,1,39,3,51,1
501,215.62,20,Clothing,0,0,60,3,47,0
9156,24.27,3,Electronics,0,0,46,2,36,0
9415,113.53,11,Travel,1,0,93,1,63,0
3096,200.91,21,Grocery,0,0,53,3,62,0
4632,67.33,23,Grocery,0,0,27,2,55,0
368,424.36,4,Grocery,0,0,39,4,30,0
4059,397.17,5,Food,0,0,45,2,64,0
8175,182.95,12,Food,0,0,63,1,38,0
4631,23.0,16,Grocery,0,0,83,4,24,0
6071,536.66,0,Food,1,0,98,3,22,0
2665,168.46,4,Travel,0,0,51,0,44,0
1027,356.55,10,Grocery,0,0,73,3,21,0
5909,44.83,20,Electronics,0,0,94,3,49,0
5051,39.62,8,Electronics,0,0,38,3,64,0
6329,113.16,6,Clothing,0,0,43,2,49,0
9734,274.96,11,Clothing,0,0,68,4,52,0
1692,125.69,11,Grocery,0,0,28,3,45,0
674,133.81,13,Grocery,0,0,45,0,45,0
5573,310.51,7,Grocery,0,0,36,1,19,0
5767,52.47,12,Grocery,0,0,72,3,20,0
5157,36.61,20,Food,0,0,51,3,60,0
734,133.27,21,Food,1,1,58,1,48,0
3527,650.66,23,Food,1,0,47,2,62,0
569,422.11,0,Clothing,0,0,58,6,52,0
9188,0.01,17,Travel,0,0,71,4,68,0
2923,305.47,7,Grocery,0,0,48,2,26,0
7912,95.86,21,Travel,0,0,88,2,62,0
1559,329.71,18,Electronics,0,0,96,1,48,0
102,182.11,2,Clothing,0,0,66,3,34,0
3008,2.2,4,Clothing,0,0,52,2,30,0
7202,26.21,14,Travel,0,0,48,0,58,0
304,182.62,15,Clothing,1,0,91,0,30,0
77,265.54,19,Travel,0,0,72,0,68,0
6755,0.26,4,Food,0,0,37,3,28,0
8630,208.94,23,Electronics,0,0,25,5,38,0
1209,57.54,4,Electronics,0,0,61,0,57,0
7743,239.69,5,Food,0,0,63,3,24,0
8215,85.89,18,Clothing,0,0,31,4,66,0
8945,65.09,4,Grocery,0,0,26,1,50,0
8414,108.33,7,Clothing,0,0,36,0,64,0
1776,68.21,20,Travel,0,0,82,3,57,0
3474,216.5,4,Grocery,0,0,82,1,48,0
484,177.78,16,Grocery,0,0,95,5,52,0
2190,196.84,6,Grocery,1,1,75,5,65,1
347,181.46,17,Clothing,0,0,73,3,57,0
5482,62.64,7,Food,0,0,72,5,24,0
8362,25.61,9,Travel,0,0,90,2,28,0
1473,379.43,10,Grocery,0,0,46,0,33,0
5101,107.31,1,Clothing,0,1,66,1,52,0
6766,425.14,5,Clothing,0,0,64,3,60,0
8707,245.3,17,Food,0,0,93,1,46,0
4930,452.86,7,Food,0,0,43,0,38,0
6330,9.75,16,Clothing,1,0,46,4,62,0
2610,11.65,17,Grocery,0,0,65,2,30,0
4,164.33,4,Grocery,0,1,72,3,34,0
2214,592.51,20,Food,0,0,41,1,53,0
4828,33.01,22,Electronics,1,0,38,1,44,0
857,6.7,17,Clothing,1,0,98,4,30,0
6978,316.77,10,Grocery,0,0,28,3,60,0
5886,119.76,17,Electronics,0,0,76,3,25,0
625,173.34,10,Food,1,0,69,2,64,0
291,5.58,18,Clothing,0,0,75,3,62,0
2019,3.97,15,Grocery,0,0,40,1,62,0
669,37.17,15,Food,0,0,66,1,31,0
8922,7.01,8,Clothing,0,0,63,1,45,0
8265,305.57,9,Electronics,0,0,72,2,25,0
9697,47.27,7,Electronics,0,0,42,3,68,0
1632,76.87,6,Food,0,0,54,1,52,0
5171,99.77,3,Food,0,0,74,4,65,0
7206,36.51,21,Grocery,0,0,63,1,49,0
2523,64.05,13,Clothing,0,0,28,2,58,0
2216,65.43,12,Clothing,0,0,51,1,65,0
6969,194.43,22,Travel,0,0,51,1,20,0
6497,83.69,21,Electronics,0,0,81,3,57,0
6214,77.74,0,Clothing,0,0,35,2,24,0
7033,158.64,14,Travel,0,0,47,3,33,0
7421,39.32,1,Electronics,0,0,78,3,56,0
1108,255.56,0,Grocery,0,0,59,1,52,0
451,270.22,21,Travel,0,0,70,3,54,0
6290,108.34,0,Grocery,0,0,61,1,63,0
9967,226.27,15,Electronics,0,0,52,3,53,0
136,70.27,18,Electronics,0,0,51,2,47,0
1786,405.89,9,Food,0,0,65,1,56,0
3405,248.23,3,Food,0,0,66,2,42,0
2907,650.67,12,Food,0,0,67,4,53,0
8305,7.41,19,Grocery,0,0,26,3,42,0
7493,73.94,22,Food,0,1,74,2,53,0
6101,78.24,4,Food,0,0,81,1,33,0
4505,123.42,1,Travel,0,0,60,1,67,0
5054,15.98,7,Food,0,0,63,2,37,0
5206,85.24,17,Grocery,0,0,72,2,55,0
4081,212.19,7,Grocery,0,0,35,2,19,0
6919,171.97,13,Clothing,0,0,82,3,48,0
6803,44.58,15,Food,0,0,70,2,40,0
5207,291.36,13,Clothing,0,0,73,1,18,0
533,1025.08,23,Clothing,1,0,42,2,64,0
4831,286.52,5,Clothing,0,1,81,5,54,0
4039,193.88,20,Grocery,0,0,47,0,19,0
4085,44.43,13,Clothing,0,0,55,0,61,0
3205,203.39,23,Travel,0,0,42,1,35,0
7111,229.35,17,Grocery,0,0,39,0,25,0
331,79.2,23,Grocery,0,0,83,2,59,0
4958,181.29,19,Grocery,0,0,69,0,40,0
3034,19.24,1,Travel,0,0,72,2,50,0
7685,17.7,3,Food,0,0,72,3,60,0
1598,14.9,22,Travel,0,0,32,3,54,0
9920,102.43,6,Electronics,0,0,71,1,38,0
3598,144.8,23,Food,0,0,47,2,29,0
9039,239.53,17,Grocery,0,0,44,0,51,0
8002,209.24,0,Clothing,1,0,49,2,38,0
591,26.9,20,Clothing,1,0,76,2,54,0
648,204.59,14,Travel,0,0,49,2,40,0
9103,70.56,22,Food,0,0,43,1,47,0
8016,266.3,19,Electronics,0,0,66,2,42,0
3772,418.86,11,Travel,0,0,94,1,18,0
9040,42.82,12,Grocery,0,0,53,1,18,0
5083,327.04,12,Travel,0,1,25,1,41,0
7883,143.58,8,Grocery,0,0,34,2,36,0
9363,97.82,19,Travel,0,0,48,2,29,0
4211,20.06,5,Clothing,0,1,32,3,61,0
8835,517.44,22,Food,0,0,92,0,63,0
